file_path,file_name,proposed_customer_group_key,proposed_customer_group_name,score,review_reason,method,alternatives,evidence,approval,approved_customer_group_key,review_notes
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\stegbar windows.xlsx,stegbar windows.xlsx,,,90,ambiguous,normalized_price_filename,doors stegbar windows :: Stegbar Windows & Doors :: 90 | rowville stegbar windows :: Stegbar Windows Rowville :: 90,Price filename stem 'stegbar windows' scored 90 against customer group 'Stegbar Windows & Doors'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\th kim design ( old nguyen ha ).xlsx,th kim design ( old nguyen ha ).xlsx,,,90,ambiguous,normalized_price_filename,kim nguyen :: Kim Nguyen :: 90 | design kim th :: TH Kim Design :: 90,Price filename stem 'th kim design old nguyen ha' scored 90 against customer group 'Kim Nguyen'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\the canvas seat cover co ( old marine tech industries ).xlsx,the canvas seat cover co ( old marine tech industries ).xlsx,,,90,ambiguous,normalized_price_filename,industries marine tech :: Marine Tech Industries :: 90 | canvas cover seat :: The Canvas Seat Cover Company :: 90,Price filename stem 'the canvas seat cover co old marine tech industries' scored 90 against customer group 'Marine Tech Industries'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\top time embroidery.xlsx,top time embroidery.xlsx,,,90,ambiguous,normalized_price_filename,embroidery top :: Top Embroidery :: 90 | embroidery l p time top :: Top Time Embroidery P/L :: 90 | embroidery trivett :: Trivett Embroidery :: 69 | embroidery pt :: PT Embroidery :: 64 | embroidery hien hua :: Hien Hua Embroidery :: 63,Price filename stem 'top time embroidery' scored 90 against customer group 'Top Embroidery'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\uniform by design (old renver clothing).xlsx,uniform by design (old renver clothing).xlsx,,,90,ambiguous,normalized_price_filename,clothing renver :: Renver Clothing :: 90 | by design uniform :: Uniform By Design :: 90,Price filename stem 'uniform by design old renver clothing' scored 90 against customer group 'Renver Clothing'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\versa clothing (le jester).xlsx,versa clothing (le jester).xlsx,,,90,ambiguous,normalized_price_filename,jester le :: Le Jester :: 90 | clothing versa :: Versa Clothing :: 90 | clothing steer :: Steer Clothing Co :: 63,Price filename stem 'versa clothing le jester' scored 90 against customer group 'Le Jester'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\wild wool productions (old ugg australian made since 1974 and corner store & co).xlsx,wild wool productions (old ugg australian made since 1974 and corner store & co).xlsx,,,90,ambiguous,normalized_price_filename,1974 australian made since ugg :: Ugg Australian Made Since 1974 :: 90 | productions wild wool :: Wild Wool Productions Pty Ltd :: 90,Price filename stem 'wild wool productions old ugg australian made since 1974 and corner store co' scored 90 against customer group 'Ugg Australian Made Since 1974'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\phans clothing.xlsx,phans clothing.xlsx,,,82,ambiguous,normalized_price_filename,clothing phan s :: Phan's Clothing :: 82 | clothing pants :: Pants Clothing :: 79 | clothing s :: S. Clothing Pty Ltd :: 71 | clothing kaplan :: Kaplan Clothing :: 70 | clothing paname :: Paname Clothing :: 70,"Price filename stem 'phans clothing' scored 82 against customer group ""Phan's Clothing"". | Multiple near-equal candidates require selection.",,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\aap sheepskin products.xlsx,aap sheepskin products.xlsx,,,79,ambiguous,normalized_price_filename,pk products sheepskin :: PK Sheepskin Products :: 79 | a1 l p products sheepskin :: A1 Sheepskin Products P/L :: 76 | jordan products sheepskin :: Jordan Sheepskin Products :: 72 | customade l p products sheepskin :: Customade Sheepskin Products P/L :: 66 | i products r sheepskin wool :: I. R. Sheepskin & Wool Products :: 66,Price filename stem 'aap sheepskin products' scored 79 against customer group 'PK Sheepskin Products'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\he upholstery.xlsx,he upholstery.xlsx,,,79,ambiguous,normalized_price_filename,howe upholstery :: Howe Upholstery :: 79 | a e upholstery :: A&E Upholstery PTY LTD :: 76 | e h upholstery :: H.E. Upholstery :: 76 | j upholstery :: J & J Upholstery :: 75 | fine upholstery :: Fine Upholstery :: 73,Price filename stem 'he upholstery' scored 79 against customer group 'Howe Upholstery'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\ajl sportswear.xlsx,ajl sportswear.xlsx,,,78,ambiguous,normalized_price_filename,a sportswear :: A & A Sportswear :: 78 | qa sportswear :: QA Sportswear :: 76 | sportswear :: The Sportswear Company :: 71 | gaona sportswear :: Gaona Sportswear :: 68 | h m sportswear :: M H Sportswear :: 67,Price filename stem 'ajl sportswear' scored 78 against customer group 'A & A Sportswear'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\d & s knitting mills.xlsx,d & s knitting mills.xlsx,,,78,ambiguous,normalized_price_filename,ds knitting mills :: DS Knitting Mills :: 78 | dpa knitting mills :: DPA Knitting Mills :: 76 | j knitting mills t :: J & T Knitting Mills :: 76 | dare knitting mills :: Dare Knitting Mills :: 74 | knitting mills rossy :: Rossy Knitting Mills Pty Ltd :: 72,Price filename stem 'd s knitting mills' scored 78 against customer group 'DS Knitting Mills'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\lht clothing.xlsx,lht clothing.xlsx,,,78,ambiguous,normalized_price_filename,clothing htt :: HTT Clothing :: 78 | clothing plt :: PLT Clothing :: 78 | clothing ml :: ML Clothing :: 74 | clothing dvh :: DVH Clothing :: 71 | clothing s :: S. Clothing Pty Ltd :: 70,Price filename stem 'lht clothing' scored 78 against customer group 'HTT Clothing'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\mag curtains.xlsx,mag curtains.xlsx,,,78,ambiguous,normalized_price_filename,curtains jag :: JAG Curtains :: 78 | curtains main :: Main Curtains :: 75 | curtains roma :: Roma Curtains :: 75 | curtains monaco :: Monaco Curtains :: 69 | curtains haas :: Haas Curtains :: 68,Price filename stem 'mag curtains' scored 78 against customer group 'JAG Curtains'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\vj embroidery.xlsx,vj embroidery.xlsx,,,78,ambiguous,normalized_price_filename,embroidery js :: JS Embroidery :: 78 | embroidery j k :: J & K Embroidery :: 76 | embroidery jsm :: JSM Embroidery :: 76 | embroidery j v :: V J Embroidery :: 76 | embroidery pt :: PT Embroidery :: 72,Price filename stem 'vj embroidery' scored 78 against customer group 'JS Embroidery'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\astrid furniture.xlsx,astrid furniture.xlsx,,,77,ambiguous,normalized_price_filename,astra furniture :: Astra Furniture :: 77 | astrum furniture :: Astrum Furniture Pty Ltd :: 74 | a furniture :: A & A Furniture :: 69 | aspect furniture :: Aspect Furniture :: 69 | brand furniture :: Brand Furniture :: 66,Price filename stem 'astrid furniture' scored 77 against customer group 'Astra Furniture'. | Multiple near-equal candidates require selection.,,,
